"","mp_names","mp_parties","mp_url","mp_url_full","interventions","interventions_com"
"1","Ziad Aboultaif","Conservative","/Members/en/ziad-aboultaif(89156)","https://www.ourcommons.ca/Members/en/ziad-aboultaif(89156)","74 in the current session","137 in the current session"
"2","Scott Aitchison","Conservative","/Members/en/scott-aitchison(105340)","https://www.ourcommons.ca/Members/en/scott-aitchison(105340)","36 in the current session","7 in the current session"
"3","Dan Albas","Conservative","/Members/en/dan-albas(72029)","https://www.ourcommons.ca/Members/en/dan-albas(72029)","215 in the current session","401 in the current session"
"4","John Aldag","Liberal","/Members/en/john-aldag(89258)","https://www.ourcommons.ca/Members/en/john-aldag(89258)","52 in the current session","884 in the current session"
"5","Omar Alghabra","Liberal","/Members/en/omar-alghabra(89535)","https://www.ourcommons.ca/Members/en/omar-alghabra(89535)","70 in the current session","211 in the current session"
"6","Shafqat Ali","Liberal","/Members/en/shafqat-ali(110339)","https://www.ourcommons.ca/Members/en/shafqat-ali(110339)","20 in the current session","88 in the current session"
"7","Dean Allison","Conservative","/Members/en/dean-allison(25446)","https://www.ourcommons.ca/Members/en/dean-allison(25446)","17 in the current session","17 in the current session"
"8","Anita Anand","Liberal","/Members/en/anita-anand(96081)","https://www.ourcommons.ca/Members/en/anita-anand(96081)","68 in the current session","140 in the current session"
"9","Gary Anandasangaree","Liberal","/Members/en/gary-anandasangaree(89449)","https://www.ourcommons.ca/Members/en/gary-anandasangaree(89449)","144 in the current session","93 in the current session"
"10","Charlie Angus","NDP","/Members/en/charlie-angus(25470)","https://www.ourcommons.ca/Members/en/charlie-angus(25470)","216 in the current session","467 in the current session"
"11","Mel Arnold","Conservative","/Members/en/mel-arnold(89294)","https://www.ourcommons.ca/Members/en/mel-arnold(89294)","92 in the current session","336 in the current session"
"12","René Arseneault","Liberal","/Members/en/rene-arseneault(89383)","https://www.ourcommons.ca/Members/en/rene-arseneault(89383)","24 in the current session","1022 in the current session"
"13","Chandra Arya","Liberal","/Members/en/chandra-arya(88860)","https://www.ourcommons.ca/Members/en/chandra-arya(88860)","62 in the current session","70 in the current session"
"14","Niki Ashton","NDP","/Members/en/niki-ashton(36037)","https://www.ourcommons.ca/Members/en/niki-ashton(36037)","110 in the current session","237 in the current session"
"15","Jenica Atwin","Liberal","/Members/en/jenica-atwin(104586)","https://www.ourcommons.ca/Members/en/jenica-atwin(104586)","68 in the current session","87 in the current session"
"16","Taylor Bachrach","NDP","/Members/en/taylor-bachrach(105854)","https://www.ourcommons.ca/Members/en/taylor-bachrach(105854)","138 in the current session","349 in the current session"
"17","Vance Badawey","Liberal","/Members/en/vance-badawey(88867)","https://www.ourcommons.ca/Members/en/vance-badawey(88867)","20 in the current session","125 in the current session"
"18","Parm Bains","Liberal","/Members/en/parm-bains(111067)","https://www.ourcommons.ca/Members/en/parm-bains(111067)","15 in the current session","254 in the current session"
"19","Yvan Baker","Liberal","/Members/en/yvan-baker(105121)","https://www.ourcommons.ca/Members/en/yvan-baker(105121)","51 in the current session","403 in the current session"
"20","Tony Baldinelli","Conservative","/Members/en/tony-baldinelli(30330)","https://www.ourcommons.ca/Members/en/tony-baldinelli(30330)","58 in the current session","121 in the current session"
"21","John Barlow","Conservative","/Members/en/john-barlow(86261)","https://www.ourcommons.ca/Members/en/john-barlow(86261)","118 in the current session","264 in the current session"
"22","Michael Barrett","Conservative","/Members/en/michael-barrett(102275)","https://www.ourcommons.ca/Members/en/michael-barrett(102275)","214 in the current session","285 in the current session"
"23","Lisa Marie Barron","NDP","/Members/en/lisa-marie-barron(111023)","https://www.ourcommons.ca/Members/en/lisa-marie-barron(111023)","173 in the current session","292 in the current session"
"24","Xavier Barsalou-Duval","Bloc Québécois","/Members/en/xavier-barsalou-duval(88422)","https://www.ourcommons.ca/Members/en/xavier-barsalou-duval(88422)","104 in the current session","233 in the current session"
"25","Jaime Battiste","Liberal","/Members/en/jaime-battiste(104571)","https://www.ourcommons.ca/Members/en/jaime-battiste(104571)","35 in the current session","54 in the current session"
"26","Mario Beaulieu","Bloc Québécois","/Members/en/mario-beaulieu(376)","https://www.ourcommons.ca/Members/en/mario-beaulieu(376)","119 in the current session","370 in the current session"
"27","Terry Beech","Liberal","/Members/en/terry-beech(89236)","https://www.ourcommons.ca/Members/en/terry-beech(89236)","111 in the current session","166 in the current session"
"28","Rachel Bendayan","Liberal","/Members/en/rachel-bendayan(88567)","https://www.ourcommons.ca/Members/en/rachel-bendayan(88567)","217 in the current session","458 in the current session"
"29","Carolyn Bennett","Liberal","/Members/en/carolyn-bennett(992)","https://www.ourcommons.ca/Members/en/carolyn-bennett(992)","45 in the current session","111 in the current session"
"30","Bob Benzen","Conservative","/Members/en/bob-benzen(96361)","https://www.ourcommons.ca/Members/en/bob-benzen(96361)","None in the current session","45 in the current session"
"31","Candice Bergen","Conservative","/Members/en/candice-bergen(59110)","https://www.ourcommons.ca/Members/en/candice-bergen(59110)","166 in the current session","14 in the current session"
"32","Stéphane Bergeron","Bloc Québécois","/Members/en/stephane-bergeron(496)","https://www.ourcommons.ca/Members/en/stephane-bergeron(496)","75 in the current session","340 in the current session"
"33","Luc Berthold","Conservative","/Members/en/luc-berthold(88541)","https://www.ourcommons.ca/Members/en/luc-berthold(88541)","335 in the current session","81 in the current session"
"34","Sylvie Bérubé","Bloc Québécois","/Members/en/sylvie-berube(104622)","https://www.ourcommons.ca/Members/en/sylvie-berube(104622)","66 in the current session","40 in the current session"
"35","James Bezan","Conservative","/Members/en/james-bezan(25475)","https://www.ourcommons.ca/Members/en/james-bezan(25475)","158 in the current session","313 in the current session"
"36","Marie-Claude Bibeau","Liberal","/Members/en/marie-claude-bibeau(88449)","https://www.ourcommons.ca/Members/en/marie-claude-bibeau(88449)","51 in the current session","89 in the current session"
"37","Chris Bittle","Liberal","/Members/en/chris-bittle(88934)","https://www.ourcommons.ca/Members/en/chris-bittle(88934)","70 in the current session","240 in the current session"
"38","Daniel Blaikie","NDP","/Members/en/daniel-blaikie(89032)","https://www.ourcommons.ca/Members/en/daniel-blaikie(89032)","250 in the current session","668 in the current session"
"39","Bill Blair","Liberal","/Members/en/bill-blair(88961)","https://www.ourcommons.ca/Members/en/bill-blair(88961)","111 in the current session","213 in the current session"
"40","Yves-François Blanchet","Bloc Québécois","/Members/en/yves-francois-blanchet(104669)","https://www.ourcommons.ca/Members/en/yves-francois-blanchet(104669)","180 in the current session","None in the current session"
"41","Maxime Blanchette-Joncas","Bloc Québécois","/Members/en/maxime-blanchette-joncas(104705)","https://www.ourcommons.ca/Members/en/maxime-blanchette-joncas(104705)","110 in the current session","263 in the current session"
"42","Rachel Blaney","NDP","/Members/en/rachel-blaney(89354)","https://www.ourcommons.ca/Members/en/rachel-blaney(89354)","200 in the current session","342 in the current session"
"43","Kelly Block","Conservative","/Members/en/kelly-block(59156)","https://www.ourcommons.ca/Members/en/kelly-block(59156)","69 in the current session","59 in the current session"
"44","Kody Blois","Liberal","/Members/en/kody-blois(104555)","https://www.ourcommons.ca/Members/en/kody-blois(104555)","271 in the current session","774 in the current session"
"45","Randy Boissonnault","Liberal","/Members/en/randy-boissonnault(89147)","https://www.ourcommons.ca/Members/en/randy-boissonnault(89147)","459 in the current session","None in the current session"
"46","Alexandre Boulerice","NDP","/Members/en/alexandre-boulerice(58775)","https://www.ourcommons.ca/Members/en/alexandre-boulerice(58775)","247 in the current session","95 in the current session"
"47","Valerie Bradford","Liberal","/Members/en/valerie-bradford(110487)","https://www.ourcommons.ca/Members/en/valerie-bradford(110487)","19 in the current session","148 in the current session"
"48","Richard Bragdon","Conservative","/Members/en/richard-bragdon(88369)","https://www.ourcommons.ca/Members/en/richard-bragdon(88369)","38 in the current session","82 in the current session"
"49","John Brassard","Conservative","/Members/en/john-brassard(88674)","https://www.ourcommons.ca/Members/en/john-brassard(88674)","337 in the current session","184 in the current session"
"50","Élisabeth Brière","Liberal","/Members/en/elisabeth-briere(104977)","https://www.ourcommons.ca/Members/en/elisabeth-briere(104977)","67 in the current session","118 in the current session"
"51","Larry Brock","Conservative","/Members/en/larry-brock(110354)","https://www.ourcommons.ca/Members/en/larry-brock(110354)","90 in the current session","360 in the current session"
"52","Alexis Brunelle-Duceppe","Bloc Québécois","/Members/en/alexis-brunelle-duceppe(104786)","https://www.ourcommons.ca/Members/en/alexis-brunelle-duceppe(104786)","157 in the current session","726 in the current session"
"53","Blaine Calkins","Conservative","/Members/en/blaine-calkins(35897)","https://www.ourcommons.ca/Members/en/blaine-calkins(35897)","100 in the current session","54 in the current session"
"54","Richard Cannings","NDP","/Members/en/richard-cannings(89327)","https://www.ourcommons.ca/Members/en/richard-cannings(89327)","162 in the current session","151 in the current session"
"55","Frank Caputo","Conservative","/Members/en/frank-caputo(111007)","https://www.ourcommons.ca/Members/en/frank-caputo(111007)","150 in the current session","156 in the current session"
"56","Jim Carr","Liberal","/Members/en/jim-carr(89059)","https://www.ourcommons.ca/Members/en/jim-carr(89059)","28 in the current session","1362 in the current session"
"57","Colin Carrie","Conservative","/Members/en/colin-carrie(25486)","https://www.ourcommons.ca/Members/en/colin-carrie(25486)","50 in the current session","94 in the current session"
"58","Sean Casey","Liberal","/Members/en/sean-casey(71270)","https://www.ourcommons.ca/Members/en/sean-casey(71270)","31 in the current session","1363 in the current session"
"59","Louise Chabot","Bloc Québécois","/Members/en/louise-chabot(104678)","https://www.ourcommons.ca/Members/en/louise-chabot(104678)","138 in the current session","312 in the current session"
"60","Bardish Chagger","Liberal","/Members/en/bardish-chagger(89000)","https://www.ourcommons.ca/Members/en/bardish-chagger(89000)","52 in the current session","946 in the current session"
"61","George Chahal","Liberal","/Members/en/george-chahal(110882)","https://www.ourcommons.ca/Members/en/george-chahal(110882)","48 in the current session","151 in the current session"
"62","Adam Chambers","Conservative","/Members/en/adam-chambers(110649)","https://www.ourcommons.ca/Members/en/adam-chambers(110649)","85 in the current session","454 in the current session"
"63","François-Philippe Champagne","Liberal","/Members/en/francois-philippe-champagne(88633)","https://www.ourcommons.ca/Members/en/francois-philippe-champagne(88633)","73 in the current session","142 in the current session"
"64","Martin Champoux","Bloc Québécois","/Members/en/martin-champoux(104741)","https://www.ourcommons.ca/Members/en/martin-champoux(104741)","199 in the current session","490 in the current session"
"65","Sophie Chatel","Liberal","/Members/en/sophie-chatel(110225)","https://www.ourcommons.ca/Members/en/sophie-chatel(110225)","31 in the current session","299 in the current session"
"66","Shaun Chen","Liberal","/Members/en/shaun-chen(88953)","https://www.ourcommons.ca/Members/en/shaun-chen(88953)","7 in the current session","None in the current session"
"67","Paul Chiang","Liberal","/Members/en/paul-chiang(110513)","https://www.ourcommons.ca/Members/en/paul-chiang(110513)","6 in the current session","123 in the current session"
"68","Michael D. Chong","Conservative","/Members/en/michael-d-chong(25488)","https://www.ourcommons.ca/Members/en/michael-d-chong(25488)","133 in the current session","370 in the current session"
"69","Chad Collins","Liberal","/Members/en/chad-collins(110438)","https://www.ourcommons.ca/Members/en/chad-collins(110438)","23 in the current session","132 in the current session"
"70","Laurel Collins","NDP","/Members/en/laurel-collins(105908)","https://www.ourcommons.ca/Members/en/laurel-collins(105908)","175 in the current session","384 in the current session"
"71","Michael Cooper","Conservative","/Members/en/michael-cooper(89219)","https://www.ourcommons.ca/Members/en/michael-cooper(89219)","139 in the current session","313 in the current session"
"72","Serge Cormier","Liberal","/Members/en/serge-cormier(88350)","https://www.ourcommons.ca/Members/en/serge-cormier(88350)","9 in the current session","171 in the current session"
"73","Michael Coteau","Liberal","/Members/en/michael-coteau(110373)","https://www.ourcommons.ca/Members/en/michael-coteau(110373)","30 in the current session","267 in the current session"
"74","Julie Dabrusin","Liberal","/Members/en/julie-dabrusin(88994)","https://www.ourcommons.ca/Members/en/julie-dabrusin(88994)","90 in the current session","122 in the current session"
"75","Marc Dalton","Conservative","/Members/en/marc-dalton(35909)","https://www.ourcommons.ca/Members/en/marc-dalton(35909)","70 in the current session","54 in the current session"
"76","Pam Damoff","Liberal","/Members/en/pam-damoff(88884)","https://www.ourcommons.ca/Members/en/pam-damoff(88884)","147 in the current session","432 in the current session"
"77","Raquel Dancho","Conservative","/Members/en/raquel-dancho(105521)","https://www.ourcommons.ca/Members/en/raquel-dancho(105521)","137 in the current session","554 in the current session"
"78","Scot Davidson","Conservative","/Members/en/scot-davidson(102653)","https://www.ourcommons.ca/Members/en/scot-davidson(102653)","38 in the current session","18 in the current session"
"79","Don Davies","NDP","/Members/en/don-davies(59325)","https://www.ourcommons.ca/Members/en/don-davies(59325)","160 in the current session","320 in the current session"
"80","Claude DeBellefeuille","Bloc Québécois","/Members/en/claude-debellefeuille(35315)","https://www.ourcommons.ca/Members/en/claude-debellefeuille(35315)","106 in the current session","12 in the current session"
"81","Gérard Deltell","Conservative","/Members/en/gerard-deltell(88535)","https://www.ourcommons.ca/Members/en/gerard-deltell(88535)","238 in the current session","99 in the current session"
"82","Chris d'Entremont","Conservative","/Members/en/chris-dentremont(49344)","https://www.ourcommons.ca/Members/en/chris-dentremont(49344)","3974 in the current session","9 in the current session"
"83","Caroline Desbiens","Bloc Québécois","/Members/en/caroline-desbiens(104715)","https://www.ourcommons.ca/Members/en/caroline-desbiens(104715)","98 in the current session","297 in the current session"
"84","Luc Desilets","Bloc Québécois","/Members/en/luc-desilets(104922)","https://www.ourcommons.ca/Members/en/luc-desilets(104922)","135 in the current session","248 in the current session"
"85","Blake Desjarlais","NDP","/Members/en/blake-desjarlais(110889)","https://www.ourcommons.ca/Members/en/blake-desjarlais(110889)","145 in the current session","194 in the current session"
"86","Sukh Dhaliwal","Liberal","/Members/en/sukh-dhaliwal(31098)","https://www.ourcommons.ca/Members/en/sukh-dhaliwal(31098)","14 in the current session","909 in the current session"
"87","Anju Dhillon","Liberal","/Members/en/anju-dhillon(88453)","https://www.ourcommons.ca/Members/en/anju-dhillon(88453)","58 in the current session","110 in the current session"
"88","Lena Metlege Diab","Liberal","/Members/en/lena-metlege-diab(109915)","https://www.ourcommons.ca/Members/en/lena-metlege-diab(109915)","59 in the current session","162 in the current session"
"89","Todd Doherty","Conservative","/Members/en/todd-doherty(89249)","https://www.ourcommons.ca/Members/en/todd-doherty(89249)","77 in the current session","157 in the current session"
"90","Han Dong","Liberal","/Members/en/han-dong(105091)","https://www.ourcommons.ca/Members/en/han-dong(105091)","26 in the current session","340 in the current session"
"91","Terry Dowdall","Conservative","/Members/en/terry-dowdall(105410)","https://www.ourcommons.ca/Members/en/terry-dowdall(105410)","10 in the current session","102 in the current session"
"92","Earl Dreeshen","Conservative","/Members/en/earl-dreeshen(59226)","https://www.ourcommons.ca/Members/en/earl-dreeshen(59226)","35 in the current session","82 in the current session"
"93","Francis Drouin","Liberal","/Members/en/francis-drouin(88756)","https://www.ourcommons.ca/Members/en/francis-drouin(88756)","75 in the current session","204 in the current session"
"94","Emmanuel Dubourg","Liberal","/Members/en/emmanuel-dubourg(84660)","https://www.ourcommons.ca/Members/en/emmanuel-dubourg(84660)","23 in the current session","505 in the current session"
"95","Jean-Yves Duclos","Liberal","/Members/en/jean-yves-duclos(89408)","https://www.ourcommons.ca/Members/en/jean-yves-duclos(89408)","356 in the current session","250 in the current session"
"96","Terry Duguid","Liberal","/Members/en/terry-duguid(31119)","https://www.ourcommons.ca/Members/en/terry-duguid(31119)","161 in the current session","71 in the current session"
"97","Eric Duncan","Conservative","/Members/en/eric-duncan(105422)","https://www.ourcommons.ca/Members/en/eric-duncan(105422)","74 in the current session","123 in the current session"
"98","Kirsty Duncan","Liberal","/Members/en/kirsty-duncan(58877)","https://www.ourcommons.ca/Members/en/kirsty-duncan(58877)","25 in the current session","533 in the current session"
"99","Julie Dzerowicz","Liberal","/Members/en/julie-dzerowicz(88721)","https://www.ourcommons.ca/Members/en/julie-dzerowicz(88721)","100 in the current session","456 in the current session"
"100","Ali Ehsassi","Liberal","/Members/en/ali-ehsassi(89010)","https://www.ourcommons.ca/Members/en/ali-ehsassi(89010)","21 in the current session","634 in the current session"
"101","Fayçal El-Khoury","Liberal","/Members/en/faycal-el-khoury(88515)","https://www.ourcommons.ca/Members/en/faycal-el-khoury(88515)","13 in the current session","153 in the current session"
"102","Stephen Ellis","Conservative","/Members/en/stephen-ellis(109905)","https://www.ourcommons.ca/Members/en/stephen-ellis(109905)","186 in the current session","374 in the current session"
"103","Dave Epp","Conservative","/Members/en/dave-epp(105082)","https://www.ourcommons.ca/Members/en/dave-epp(105082)","85 in the current session","152 in the current session"
"104","Nathaniel Erskine-Smith","Liberal","/Members/en/nathaniel-erskine-smith(88687)","https://www.ourcommons.ca/Members/en/nathaniel-erskine-smith(88687)","36 in the current session","217 in the current session"
"105","Rosemarie Falk","Conservative","/Members/en/rosemarie-falk(98749)","https://www.ourcommons.ca/Members/en/rosemarie-falk(98749)","46 in the current session","31 in the current session"
"106","Ted Falk","Conservative","/Members/en/ted-falk(84672)","https://www.ourcommons.ca/Members/en/ted-falk(84672)","49 in the current session","96 in the current session"
"107","Ed Fast","Conservative","/Members/en/ed-fast(35904)","https://www.ourcommons.ca/Members/en/ed-fast(35904)","111 in the current session","309 in the current session"
"108","Greg Fergus","Liberal","/Members/en/greg-fergus(88478)","https://www.ourcommons.ca/Members/en/greg-fergus(88478)","72 in the current session","333 in the current session"
"109","Michelle Ferreri","Conservative","/Members/en/michelle-ferreri(110604)","https://www.ourcommons.ca/Members/en/michelle-ferreri(110604)","122 in the current session","202 in the current session"
"110","Andy Fillmore","Liberal","/Members/en/andy-fillmore(88325)","https://www.ourcommons.ca/Members/en/andy-fillmore(88325)","51 in the current session","138 in the current session"
"111","Kerry-Lynne D. Findlay","Conservative","/Members/en/kerry-lynne-d-findlay(20878)","https://www.ourcommons.ca/Members/en/kerry-lynne-d-findlay(20878)","145 in the current session","234 in the current session"
"112","Darren Fisher","Liberal","/Members/en/darren-fisher(88323)","https://www.ourcommons.ca/Members/en/darren-fisher(88323)","62 in the current session","94 in the current session"
"113","Peter Fonseca","Liberal","/Members/en/peter-fonseca(71692)","https://www.ourcommons.ca/Members/en/peter-fonseca(71692)","17 in the current session","2880 in the current session"
"114","Mona Fortier","Liberal","/Members/en/mona-fortier(96356)","https://www.ourcommons.ca/Members/en/mona-fortier(96356)","148 in the current session","152 in the current session"
"115","Rhéal Éloi Fortin","Bloc Québécois","/Members/en/rheal-eloi-fortin(88605)","https://www.ourcommons.ca/Members/en/rheal-eloi-fortin(88605)","105 in the current session","1172 in the current session"
"116","Peter Fragiskatos","Liberal","/Members/en/peter-fragiskatos(88827)","https://www.ourcommons.ca/Members/en/peter-fragiskatos(88827)","73 in the current session","162 in the current session"
"117","Sean Fraser","Liberal","/Members/en/sean-fraser(88316)","https://www.ourcommons.ca/Members/en/sean-fraser(88316)","127 in the current session","392 in the current session"
"118","Chrystia Freeland","Liberal","/Members/en/chrystia-freeland(84665)","https://www.ourcommons.ca/Members/en/chrystia-freeland(84665)","443 in the current session","240 in the current session"
"119","Hedy Fry","Liberal","/Members/en/hedy-fry(1589)","https://www.ourcommons.ca/Members/en/hedy-fry(1589)","41 in the current session","2189 in the current session"
"120","Iqwinder Gaheer","Liberal","/Members/en/iqwinder-gaheer(110534)","https://www.ourcommons.ca/Members/en/iqwinder-gaheer(110534)","20 in the current session","124 in the current session"
"121","Cheryl Gallant","Conservative","/Members/en/cheryl-gallant(1809)","https://www.ourcommons.ca/Members/en/cheryl-gallant(1809)","99 in the current session","219 in the current session"
"122","Marc Garneau","Liberal","/Members/en/marc-garneau(10524)","https://www.ourcommons.ca/Members/en/marc-garneau(10524)","24 in the current session","1490 in the current session"
"123","Jean-Denis Garon","Bloc Québécois","/Members/en/jean-denis-garon(110189)","https://www.ourcommons.ca/Members/en/jean-denis-garon(110189)","214 in the current session","297 in the current session"
"124","Randall Garrison","NDP","/Members/en/randall-garrison(71995)","https://www.ourcommons.ca/Members/en/randall-garrison(71995)","106 in the current session","268 in the current session"
"125","Marie-Hélène Gaudreau","Bloc Québécois","/Members/en/marie-helene-gaudreau(104806)","https://www.ourcommons.ca/Members/en/marie-helene-gaudreau(104806)","107 in the current session","188 in the current session"
"126","Leah Gazan","NDP","/Members/en/leah-gazan(87121)","https://www.ourcommons.ca/Members/en/leah-gazan(87121)","161 in the current session","323 in the current session"
"127","Bernard Généreux","Conservative","/Members/en/bernard-genereux(63908)","https://www.ourcommons.ca/Members/en/bernard-genereux(63908)","89 in the current session","256 in the current session"
"128","Garnett Genuis","Conservative","/Members/en/garnett-genuis(89226)","https://www.ourcommons.ca/Members/en/garnett-genuis(89226)","544 in the current session","707 in the current session"
